ID,componentindex,CF_kingdom,CF_MFramework,CF_superclass,CF_class,CF_subclass,CF_Dparent,Compound_Name,feature
1,-1,no matches,no matches,no matches,no matches,no matches,no matches,,1
4,-1,no matches,no matches,no matches,no matches,no matches,no matches,,4
5,-1,no matches,no matches,no matches,no matches,no matches,no matches,,5
9,2348,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,,9
14,-1,no matches,no matches,no matches,no matches,no matches,no matches,,14
16,-1,no matches,no matches,no matches,no matches,no matches,no matches,,16
26,-1,Organic compounds,Aromatic homomonocyclic compounds,Phenylpropanoids and polyketides,Cinnamaldehydes,,Cinnamaldehydes,TRANS-CINNAMALDEHYDE,26
29,-1,no matches,no matches,no matches,no matches,no matches,no matches,,29
31,-1,no matches,no matches,no matches,no matches,no matches,no matches,,31
34,-1,no matches,no matches,no matches,no matches,no matches,no matches,,34
35,1085,no matches,no matches,no matches,no matches,no matches,no matches,,35
37,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,37
73,-1,no matches,no matches,no matches,no matches,no matches,no matches,,73
75,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,75
76,-1,no matches,no matches,no matches,no matches,no matches,no matches,,76
100,-1,no matches,no matches,no matches,no matches,no matches,no matches,,100
108,-1,no matches,no matches,no matches,no matches,no matches,no matches,,108
110,2348,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,,110
116,458,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,,116
118,-1,no matches,no matches,no matches,no matches,no matches,no matches,,118
124,-1,no matches,no matches,no matches,no matches,no matches,no matches,,124
145,1085,no matches,no matches,no matches,no matches,no matches,no matches,,145
156,-1,no matches,no matches,no matches,no matches,no matches,no matches,,156
161,-1,no matches,no matches,no matches,no matches,no matches,no matches,,161
184,97,Organic compounds,Aliphatic heteromonocyclic compounds,Organoheterocyclic compounds,Azolines,Pyrazolines,Pyrazolines,,184
260,-1,no matches,no matches,no matches,no matches,no matches,no matches,,260
263,248,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylamines,SPERMIDINE,263
266,-1,no matches,no matches,no matches,no matches,no matches,no matches,,266
269,163,Organic compounds,Aliphatic acyclic compounds,Organohalogen compounds,Acyl halides,Acyl chlorides,Acyl chlorides,,269
272,163,Organic compounds,Aliphatic acyclic compounds,Organohalogen compounds,Acyl halides,Acyl chlorides,Acyl chlorides,,272
276,-1,no matches,no matches,no matches,no matches,no matches,no matches,,276
282,163,Organic compounds,Aliphatic acyclic compounds,Organohalogen compounds,Acyl halides,Acyl chlorides,Acyl chlorides,,282
358,458,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,TAURINE,358
433,-1,no matches,no matches,no matches,no matches,no matches,no matches,,433
437,-1,no matches,no matches,no matches,no matches,no matches,no matches,,437
438,-1,no matches,no matches,no matches,no matches,no matches,no matches,,438
476,668,Organic compounds,Aromatic homomonocyclic compounds,Lipids and lipid-like molecules,Benzene and substituted derivatives,,Phenylpropanes,Spectral Match to Palmitic acid ethyl ester from NIST14,476
549,994,Organic compounds,Aromatic heteromonocyclic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Aryl chlorides,,549
550,-1,no matches,no matches,no matches,no matches,no matches,no matches,,550
553,-1,no matches,no matches,no matches,no matches,no matches,no matches,,553
559,1085,no matches,no matches,no matches,no matches,no matches,no matches,Spectral Match to Lys-Arg from NIST14,559
560,-1,no matches,no matches,no matches,no matches,no matches,no matches,,560
565,-1,no matches,no matches,no matches,no matches,no matches,no matches,,565
566,248,Organic compounds,Aliphatic acyclic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylamines,,566
567,-1,no matches,no matches,no matches,no matches,no matches,no matches,,567
568,-1,no matches,no matches,no matches,no matches,no matches,no matches,,568
571,-1,no matches,no matches,no matches,no matches,no matches,no matches,,571
572,1085,no matches,no matches,no matches,no matches,no matches,no matches,,572
573,147,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,,Aniline and substituted anilines,,573
574,1219,no matches,no matches,no matches,no matches,no matches,no matches,,574
575,-1,no matches,no matches,no matches,no matches,no matches,no matches,,575
582,-1,no matches,no matches,no matches,no matches,no matches,no matches,,582
584,147,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,,Aniline and substituted anilines,,584
