ID,MachineBlk1,MachineBlk2,MachineBlk3,Synbiotics-T01_F02,Synbiotics-T01_F02_2,Synbiotics-T01_F07,Synbiotics-T01_F07_2,Synbiotics-T01_F08,Synbiotics-T01_F08_2,Synbiotics-T01_F17,Synbiotics-T01_F17_2,Synbiotics-T01_F19,Synbiotics-T01_F19_2,Synbiotics-T01_F20,Synbiotics-T01_F20_2,Synbiotics-T01_F28,Synbiotics-T01_F28_2,Synbiotics-T01_F31,Synbiotics-T01_F31_2,Synbiotics-T01_F35,Synbiotics-T01_F35_2,Synbiotics-T01_F39,Synbiotics-T01_F39_2,Control-T01_F01,Control-T01_F04,Control-T01_F05,Control-T01_F11,Control-T01_F15,Control-T01_F17,Control-T01_F23,Control-T01_F26,Control-T01_F33,Control-T01_F38,Control-T01_F01_2,Control-T01_F04_2,Control-T01_F05_2,Control-T01_F11_2,Control-T01_F15_2,Control-T01_F17_2,Control-T01_F23_2,Control-T01_F26_2,Control-T01_F33_2,Control-T01_F38_2,Probiotics-T01_F01,Probiotics-T01_F01_2,Probiotics-T01_F02,Probiotics-T01_F02_2,Probiotics-T01_F09,Probiotics-T01_F09_2,Probiotics-T01_F12,Probiotics-T01_F12_2,Probiotics-T01_F17,Probiotics-T01_F17_2,Probiotics-T01_F22,Probiotics-T01_F22_2,Probiotics-T01_F31,Probiotics-T01_F31_2,Probiotics-T01_F33,Probiotics-T01_F33_2,Probiotics-T01_F35,Probiotics-T01_F35_2,Probiotics-T01_F37,Probiotics-T01_F37_2,P_Blk_01,P_Blk_01_20190824233514,P_Blk_02,P_Blk_02_20190824132314,QC04,QC05,QC06,QC07,QC08,QC09,QC10,QC11,QC12-1,QC12-2,QC13-1,QC13-2,QC13-3
26253,0,0,0,0,0,0,812260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74284,0,0,5177360,0,0,0,0,0,0,0,0,0,0,3788330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20619000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50482900,0,0,0,0,0
9565,12151760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121946,0,0,0,1995630,8505600,2416790,3043540,0,0,13949120,7951730,3070660,2113530,0,0,0,0,15205650,10853890,2024420,1818110,1883790,0,6589170,7625960,7405250,12193280,3574280,2170550,4881630,13160740,0,6094750,4448200,19405760,8418750,2340290,0,13735870,1312670,0,0,13779440,12146410,1667490,1369310,10511990,0,1644100,2214370,1779280,6553710,1763950,11723700,33836110,2149680,11071560,7644820,8871854,9344820,2548580,6062980,3115860,0,0,0,0,5271360,6636150,4951800,2126510,11804040,3595100,2850730,16782360,1891880,3961580,2761720,0,1721720
81384,0,0,994317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3621510,4355610,8764670,4396120,0,0,0,0,0,0,0,0,0,0,2502520,0,0,0,0,0,0,1288240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28731,0,0,0,0,0,0,0,0,0,0,0,0,6878970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13478600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4217220,0,0,0,0,0,0,0,0,3083930
51381,0,0,0,0,0,0,0,0,0,0,0,0,0,19162200,2679660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9151820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117284,0,0,0,0,6495340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7648840,0,0,0,0,0,0,15604500,0,15728400,0,0,0,0,0,12809100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13603000,14598500,22236700,0,0,10469100,8245530,5061910,0,0,0,58379800,49854500,0,0,0,0,7722140,0,0,0,19619200,0,0,0,0,0,0,0,0
10270,0,0,0,0,0,0,0,0,0,3918950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146712,0,389317,0,1399940,5929190,592283,605452,2411980,1036580,1247050,924411,1322490,817536,632501,1213030,1016430,1129090,956629,2442680,2565350,3060890,3578050,1362530,763115,1031590,3230820,836420,1675620,1701750,994855,1847780,2357730,626720,900767,1263560,1343280,2250230,1989050,1697150,921256,2424110,1644540,1043830,601861,528313,382109,1770710,1147350,2151760,845446,2646750,2450560,1083090,1864610,924103,1336390,2933320,1634050,1260320,1673310,1707850,448557,751262,0,0,0,0,2578810,2799030,2615350,591556,776494,936495,2159070,922406,2407970,1587650,1925150,3289720,1806910
