SampleID,Individuals,SampleType,Feed,Supplements,Individuals,RUN,Sample_Replicate,Weigth,Mycoplasma,Keep
MachineBlk1,MachineBlk1,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
MachineBlk2,MachineBlk2,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
MachineBlk3,MachineBlk3,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
Synbiotics-T01_F02,Synbiotics-T01_F02,SAMPLE,Synbiotics,Yes,B_F02,B,1,85.04,0.172050125,Yes
Synbiotics-T01_F02_2,Synbiotics-T01_F02,SAMPLE,Synbiotics,Yes,B_F02,A,1,85.04,0.172050125,Yes
Synbiotics-T01_F07,Synbiotics-T01_F07,SAMPLE,Synbiotics,Yes,B_F07,B,2,99,NA,No
Synbiotics-T01_F07_2,Synbiotics-T01_F07,SAMPLE,Synbiotics,Yes,B_F07,A,2,99,NA,No
Synbiotics-T01_F08,Synbiotics-T01_F08,SAMPLE,Synbiotics,Yes,B_F08,B,3,91.6,0.01634409,Yes
Synbiotics-T01_F08_2,Synbiotics-T01_F08,SAMPLE,Synbiotics,Yes,B_F08,A,3,91.6,0.01634409,Yes
Synbiotics-T01_F17,Synbiotics-T01_F17,SAMPLE,Synbiotics,Yes,B_F17,B,4,49.09,0,Yes
Synbiotics-T01_F17_2,Synbiotics-T01_F17,SAMPLE,Synbiotics,Yes,B_F17,A,4,49.09,0,Yes
Synbiotics-T01_F19,Synbiotics-T01_F19,SAMPLE,Synbiotics,Yes,B_F19,B,5,90.35,0.11538986,Yes
Synbiotics-T01_F19_2,Synbiotics-T01_F19,SAMPLE,Synbiotics,Yes,B_F19,A,5,90.35,0.11538986,Yes
Synbiotics-T01_F20,Synbiotics-T01_F20,SAMPLE,Synbiotics,Yes,B_F20,B,6,32.39,0.58920927,Yes
Synbiotics-T01_F20_2,Synbiotics-T01_F20,SAMPLE,Synbiotics,Yes,B_F20,A,6,32.39,0.58920927,Yes
