Fish.ID,Sea.pen,Mass.kg,Parasite.detected,HostG.PC1,HostG.PC2,HostG.PC3,HostG.PC4,HostG.PC5,HostG.beagle.order
F001,Pen1,3.24,TRUE,0.059759527,-0.014886506,0.005764388,-0.002512078,-0.023682409,1
F010,Pen1,1.77,TRUE,0.060465239,-0.00784219,-0.00273404,0.006211329,0.010953599,9
F101,Pen1,3.21,TRUE,-0.036875138,0.103665538,0.080678337,-0.020533602,0.047165296,88
F102,Pen1,3.34,TRUE,0.071057881,-0.014213798,-0.000827069,0.008436523,-0.009851735,89
F103,Pen1,5.22,TRUE,-0.076682751,-0.078784357,0.000480112,0.007998161,0.031364163,90
F104,Pen1,3.57,TRUE,-0.069733023,-0.058350636,0.078336013,0.031590117,-0.005405106,91
F107,Pen1,3.4,TRUE,-0.02368858,0.010283315,-0.042772729,-0.196175804,0.001454171,92
F108,Pen1,3.99,FALSE,-0.074780474,-0.088472767,0.029020229,-0.001214842,0.002258078,93
F011,Pen1,4.24,TRUE,-0.060353945,-0.070888033,0.002814072,0.03423735,0.015803922,10
F110,Pen1,1.24,TRUE,-0.032374476,0.073444731,-0.127384783,0.080406422,0.063870471,94
F111,Pen1,3.73,TRUE,-0.071940944,-0.061480515,-0.027906018,0.044993564,0.055882873,95
F112,Pen1,2.51,TRUE,-0.077571621,-0.060003713,0.003313984,0.003511801,0.030403808,96
F012,Pen1,2.57,TRUE,0.068856582,-0.007238348,0.009400671,-0.003634505,0.011864536,11
F125,Pen1,2.57,TRUE,-0.007939516,0.0213253,-0.027700174,-0.182105479,-0.009682033,97
F126,Pen1,3.34,TRUE,-0.002830641,-0.028641278,0.043125603,0.019926934,-0.008190506,98
F127,Pen1,4.3,TRUE,-0.035275418,-0.047964812,0.01035564,0.001033727,-0.008807572,99
F128,Pen1,4.21,TRUE,-0.03363652,0.093881654,0.084203942,-0.035600079,0.071982643,100
F013,Pen1,4.3,TRUE,0.063455415,-0.007300925,0.016625756,0.011259163,0.032704283,12
F130,Pen1,3.72,TRUE,-0.063156655,-0.064714072,-0.001492162,-0.006778174,-0.009467715,101
F131,Pen1,2.17,TRUE,0.059949453,0.000181327,0.014049636,0.011708222,-0.005253442,102
F134,Pen1,3.05,FALSE,0.069456921,-0.015538922,0.028295577,0.011125529,0.001279533,103
F135,Pen1,2.445,TRUE,0.068038648,-0.02516194,0.002770725,0.02295406,0.027668466,104
F136,Pen1,2.25,FALSE,-0.033430412,0.089854033,0.025605565,-0.009588,0.097039618,105
F139,Pen1,3.56,TRUE,-0.046852034,0.083622355,0.071034141,-0.033684761,0.070294656,106
F014,Pen1,4.27,TRUE,-0.004574022,0.015299728,-0.039115717,-0.15874054,-0.023647005,13
F140,Pen1,1.17,TRUE,0.067443255,0.002627096,0.026954835,0.019402697,-0.001465095,107
F142,Pen1,5.55,TRUE,-0.074742043,-0.063584349,0.05582423,0.015428519,0.002974448,108
F143,Pen1,4.11,FALSE,-0.074757131,-0.095162577,0.017694101,0.020797421,-0.020749673,109
F144,Pen1,4.49,TRUE,-0.066354605,-0.087057946,0.034489452,0.016217128,-0.016564681,110
F145,Pen1,2.94,TRUE,-0.030042877,0.052413709,-0.125344167,0.060798096,0.087741094,111
F146,Pen1,4.85,TRUE,0.066193924,-0.01190635,0.014161612,0.00766549,0.008979507,112
F147,Pen1,2.3,FALSE,-0.084455946,-0.082898369,0.03477592,-0.013716706,-0.000710522,113
F148,Pen1,3.64,TRUE,0.064150787,-0.003067827,0.026489792,0.008733774,-0.002731745,114
F015,Pen1,3.94,TRUE,0.066405198,0.002227326,0.017100327,0.012632413,-0.009315018,14
F150,Pen1,3.35,TRUE,0.063469772,0.005328734,0.005747674,0.018338766,0.003200416,115
F151,Pen1,5.2,TRUE,-0.064398612,-0.074953393,0.007269112,0.043130961,-0.014662037,116
F152,Pen1,4.15,TRUE,0.02966281,-0.026906833,0.010859491,0.018198202,-0.002347143,117
F154,Pen1,3.18,TRUE,-0.031491462,0.048856376,-0.113752057,0.062736519,0.085956011,118
F157,Pen1,4.54,TRUE,-0.07215257,-0.054762392,0.038109795,0.021997396,0.021603774,119
F158,Pen1,3.345,TRUE,0.064473088,-0.017143665,0.012208918,0.012898031,0.017425078,120
F159,Pen1,4.04,FALSE,-0.074306293,-0.065943074,0.009427977,-0.004644694,-0.002717841,121
F016,Pen1,4.76,TRUE,-0.031114002,0.012458285,-0.014919182,-0.09819462,0.064602369,15
F160,Pen1,3.215,FALSE,-0.015065455,0.01635712,-0.043639879,-0.175046221,-0.02548474,122
F161,Pen1,3.8,TRUE,0.05864227,-0.009888525,0.019202802,-0.002272124,0.011249433,123
F162,Pen1,2.2,TRUE,-0.036432386,0.092983616,0.079748958,-0.007022805,0.084825038,124
F163,Pen1,0.94,TRUE,-0.064880351,-0.055098966,0.026125721,0.022795571,0.010797986,125
