type	GeneSymbol	ProductName
mRNA	LOC106604312	ankyrinrepeatandKHdomain-containingprotein1-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
